rudidoes_id,company_name,company_type
1,Feedfish,Investment Managers
2,Eayo,Major Chemicals
3,Centizu,n/a
4,Voolith,"Computer Software: Programming, Data Processing"
5,Shufflester,n/a
6,Wordpedia,Business Services
7,Fliptune,n/a
8,Photolist,Radio And Television Broadcasting And Communications Equipment
9,Twitterwire,Telecommunications Equipment
10,Tavu,EDP Services
11,Mynte,n/a
12,Plajo,Engineering & Construction
13,Zazio,Medical Specialities
14,Fivechat,Auto Parts:O.E.M.
15,Zava,Food Chains
16,Meembee,Consumer Electronics/Appliances
17,Voolith,Major Pharmaceuticals
18,Agivu,Medical/Dental Instruments
19,Topdrive,n/a
20,Kwideo,n/a
21,Twiyo,Real Estate
22,Jaloo,Professional Services
23,Dabjam,Major Banks
24,Mita,Major Pharmaceuticals
25,Kwilith,Finance: Consumer Services
26,Tagchat,Commercial Banks
27,Skipfire,Property-Casualty Insurers
28,Blogtag,Major Chemicals
29,Chatterbridge,Major Banks
30,Fiveclub,n/a
31,Kare,Newspapers/Magazines
32,Voonyx,Apparel
33,Divanoodle,"Computer Software: Programming, Data Processing"
34,Podcat,Real Estate Investment Trusts
35,Dabshots,n/a
36,Kazio,Hospital/Nursing Management
37,Thoughtworks,n/a
38,Agimba,n/a
39,Zoozzy,Advertising
40,Feedbug,n/a
41,Npath,n/a
42,Fliptune,Farming/Seeds/Milling
43,Gigazoom,Specialty Insurers
44,Fanoodle,Telecommunications Equipment
45,Dynabox,Building operators
46,Kayveo,Life Insurance
47,Kwimbee,Restaurants
48,Rhynyx,Steel/Iron Ore
49,Kazu,Other Transportation
50,Rhycero,"Computer Software: Programming, Data Processing"
51,Zoovu,Medical/Dental Instruments
52,Izio,Major Banks
53,Quinu,Industrial Machinery/Components
54,Jamia,n/a
55,Realcube,Real Estate Investment Trusts
56,Einti,n/a
57,Skimia,Marine Transportation
58,Pixope,Other Consumer Services
59,Wordtune,n/a
60,Oba,n/a
61,Jazzy,Real Estate Investment Trusts
62,Zoomcast,Natural Gas Distribution
63,Reallinks,Television Services
64,Kwinu,Computer Software: Prepackaged Software
65,Innotype,Major Banks
66,Flashpoint,n/a
67,Topicshots,Steel/Iron Ore
68,Zoombox,Major Pharmaceuticals
69,Katz,Major Pharmaceuticals
70,Roomm,n/a
71,Trunyx,Industrial Machinery/Components
72,Reallinks,Semiconductors
73,Yakidoo,Business Services
74,Zooxo,Oil & Gas Production
75,Teklist,Semiconductors
76,Demivee,n/a
77,Rhyloo,Computer Software: Prepackaged Software
78,Riffwire,n/a
79,Meejo,n/a
80,Twinte,Biotechnology: Electromedical & Electrotherapeutic Apparatus
81,Katz,n/a
82,Meetz,Real Estate
83,Realbridge,Major Banks
84,Yacero,Biotechnology: In Vitro & In Vivo Diagnostic Substances
85,Twitterwire,n/a
86,Thoughtsphere,n/a
87,Voonix,Business Services
88,InnoZ,Major Pharmaceuticals
89,Vinte,Savings Institutions
90,Wikivu,n/a
91,Tagchat,Investment Bankers/Brokers/Service
92,Topicshots,Industrial Machinery/Components
93,Vinte,Investment Managers
94,Jetpulse,n/a
95,Skinder,Savings Institutions
96,Topicstorm,n/a
97,Thoughtsphere,Water Supply
98,Yoveo,Business Services
99,Babbleblab,Television Services
100,Leexo,n/a
101,Izio,Restaurants
102,Twitternation,n/a
103,Feedfish,n/a
104,Twitterworks,Medical Specialities
105,Jetpulse,Farming/Seeds/Milling
106,Wordify,Metal Fabrications
107,Snaptags,Finance: Consumer Services
108,Skaboo,Business Services
109,Jabbersphere,Investment Bankers/Brokers/Service
110,Yozio,Computer Software: Prepackaged Software
111,Kwilith,Diversified Commercial Services
112,Brainsphere,Semiconductors
113,Linktype,Major Pharmaceuticals
114,Rhycero,n/a
115,Quatz,n/a
116,Zoombox,Commercial Banks
117,Buzzdog,Publishing
118,Skidoo,Major Banks
119,Youbridge,n/a
120,Digitube,Packaged Foods
121,Rhynoodle,Major Pharmaceuticals
122,Skalith,Biotechnology: In Vitro & In Vivo Diagnostic Substances
123,Trilia,Telecommunications Equipment
124,Quatz,Food Distributors
125,Realbridge,Savings Institutions
126,Viva,Farming/Seeds/Milling
127,Zoombeat,Major Pharmaceuticals
128,Vinder,Real Estate Investment Trusts
129,Vinte,n/a
130,Myworks,n/a
131,Ntag,Major Banks
132,Quaxo,Banks
133,Mynte,Major Pharmaceuticals
134,Aibox,Industrial Specialties
135,Fadeo,n/a
136,Meeveo,n/a
137,Demizz,Oil & Gas Production
138,Bubblebox,Other Specialty Stores
139,Buzzster,Multi-Sector Companies
140,Chatterbridge,Major Pharmaceuticals
141,Flipbug,Major Pharmaceuticals
142,Brainsphere,n/a
143,Skinder,Telecommunications Equipment
144,Thoughtsphere,Military/Government/Technical
145,Edgepulse,Electric Utilities: Central
146,Lazz,Property-Casualty Insurers
147,Voolia,n/a
148,Innojam,Major Chemicals
149,Miboo,n/a
150,Ainyx,Farming/Seeds/Milling
151,Skipstorm,Telecommunications Equipment
152,Demimbu,Construction/Ag Equipment/Trucks
153,Yozio,Catalog/Specialty Distribution
154,Jaxnation,Medical/Dental Instruments
155,Thoughtstorm,Business Services
156,Photofeed,n/a
157,Babblestorm,Major Chemicals
158,Oyope,Major Chemicals
159,Voonte,n/a
160,Einti,n/a
161,Jabbersphere,Major Banks
162,Cogilith,Oil & Gas Production
163,Minyx,Major Chemicals
164,Quinu,Real Estate Investment Trusts
165,Jetpulse,Major Banks
166,Tekfly,Industrial Machinery/Components
167,Voonyx,Real Estate Investment Trusts
168,Skinder,Semiconductors
169,Jazzy,Other Specialty Stores
170,Jabbercube,n/a
171,Twitterbridge,Real Estate Investment Trusts
172,Dynabox,Investment Bankers/Brokers/Service
173,Oba,Business Services
174,Avaveo,Industrial Machinery/Components
175,Leenti,Professional Services
176,Minyx,Major Pharmaceuticals
177,Skidoo,Oil Refining/Marketing
178,Voomm,Electric Utilities: Central
179,Gigabox,Telecommunications Equipment
180,Voolia,Commercial Banks
181,Skinder,Computer peripheral equipment
182,Centimia,Finance: Consumer Services
183,Brightdog,Semiconductors
184,LiveZ,Diversified Commercial Services
185,Yoveo,Major Banks
186,Photobug,Military/Government/Technical
187,Devbug,Major Pharmaceuticals
188,Linkbuzz,n/a
189,Eire,n/a
190,Tanoodle,Major Banks
191,Blogtag,Natural Gas Distribution
192,Rhybox,Industrial Machinery/Components
193,Leexo,n/a
194,Jayo,Medical Specialities
195,Twitterlist,Farming/Seeds/Milling
196,Meembee,Major Chemicals
197,Skimia,Building Products
198,Photolist,n/a
199,Leexo,Electric Utilities: Central
200,Riffpedia,"Computer Software: Programming, Data Processing"
201,Feednation,Medical/Dental Instruments
202,Bluejam,Biotechnology: Biological Products (No Diagnostic Substances)
203,Dynava,Multi-Sector Companies
204,Twimbo,Restaurants
205,Lazz,Broadcasting
206,Livefish,Multi-Sector Companies
207,Jabbersphere,Major Chemicals
208,Dynazzy,Major Banks
